Tool,Dependency,Action
cashier_payins,cashier_payins,ADD
console_eq_external_trades,console_eq_tradebook_prepared,ADD
console_eq_external_trades,get_all_client_data,ADD
console_eq_holdings,kite_order_history,ADD
console_eq_holdings,kite_positions,ADD
console_eq_holdings_breakdown,console_eq_tradebook_prepared,ADD
console_eq_tradebook_prepared,console_eq_holdings,ADD
console_eq_tradebook_prepared,console_eq_holdings_breakdown,ADD
console_eq_tradebook_prepared,kite_order_history,ADD
console_eq_tradebook_prepared,ledger_report,ADD
console_fno_pnl,get_all_client_data,ADD
console_fno_positions,get_all_client_data,ADD
console_fno_tradebook_prepared,get_all_client_data,ADD
console_instant_pledge,account_modification_report,ADD
console_instant_pledge,get_all_client_data,ADD
console_mf_pseudo_holdings,get_all_client_data,ADD
console_mf_pseudo_holdings,settlement_date_calculator,ADD
console_mf_tradebook,mf_order_history,ADD
console_mtf_conversion,kite_order_history,ADD
console_mtf_holdings,ledger_report,ADD
contract_note_charges,tradewise_charges_report,ADD
corporate_action_orders,get_all_client_data,ADD
crux_qs_payouts,withdrawal_request,ADD
e_mandate_report,get_all_client_data,ADD
e_mandate_report,mandate_report,ADD
e_mandate_schedule_report,kite_order_history,ADD
fund_allocation_report,settlement_date_calculator,ADD
ipo_application,get_all_client_data,ADD
kite_gtt,get_all_client_data,ADD
kite_gtt_archived,get_all_client_data,ADD
kite_holdings,console_eq_external_trades,ADD
kite_holdings,console_eq_pseudo_holdings,ADD
kite_holdings,console_eq_tradebook_prepared,ADD
kite_holdings,pledge_request_report,ADD
kite_margins,account_modification_report,ADD
kite_margins,cashier_payins,ADD
kite_margins,console_eq_holdings,ADD
kite_margins,console_fno_positions,ADD
kite_margins,console_instant_pledge,ADD
kite_margins,get_all_client_data,ADD
kite_margins,pledge_request_report,ADD
kite_margins,settlement_date_calculator,ADD
kite_margins,withdrawal_request,ADD
kite_order_history,console_eq_holdings,ADD
kite_order_history,get_all_client_data,ADD
kite_order_history,settlement_date_calculator,ADD
kite_orders,console_eq_holdings,ADD
kite_orders,get_all_client_data,ADD
kite_orders,pan_status,ADD
kite_orders,settlement_date_calculator,ADD
kite_positions,console_eq_holdings,ADD
kite_positions,console_fno_positions,ADD
kite_positions,console_fno_tradebook_prepared,ADD
kite_positions,get_all_client_data,ADD
kite_positions,settlement_date_calculator,ADD
ledger_report,amc_charges,ADD
ledger_report,console_mtf_holdings,ADD
ledger_report,crux_qs_payouts,ADD
ledger_report,get_all_client_data,ADD
ledger_report,kite_order_history,ADD
ledger_report,settlement_date_calculator,ADD
ledger_report,withdrawal_request,ADD
mandate_debit_report,settlement_date_calculator,ADD
mandate_report,get_all_client_data,ADD
mandate_report,settlement_date_calculator,ADD
mf_order_history,console_mf_holdings,ADD
mf_order_history,get_all_client_data,ADD
mf_order_history,mandate_report,ADD
mf_order_history,settlement_date_calculator,ADD
mf_order_history,sip_modification_log,ADD
minor_account_opening,get_all_client_data,ADD
pledge_request_report,console_instant_pledge,ADD
sip_report,console_mf_tradebook,ADD
sip_report,settlement_date_calculator,ADD
stock_transfers,account_modification_report,ADD
stock_transfers,console_eq_pseudo_holdings,ADD
stp_report,fund_allocation_report,ADD
stp_report,get_all_client_data,ADD
swp_report,get_all_client_data,ADD
tradewise_charges_report,get_all_client_data,ADD
withdrawal_request,kite_holdings,ADD
withdrawal_request,kite_order_history,ADD
withdrawal_request,settlement_date_calculator,ADD
console_eq_external_trades,console_eq_tradebook,REMOVE
console_eq_holdings_breakdown,console_eq_tradebook,REMOVE
console_eq_tradebook_prepared,console_eq_tradebook,REMOVE
console_fno_positions,console_fno_tradebook,REMOVE
console_fno_tradebook_prepared,console_fno_tradebook,REMOVE
console_fno_tradebook_prepared,console_fno_pnl,REMOVE
console_mf_external_trades,console_mf_pseudo_holdings,REMOVE
console_mf_external_trades,console_mf_holdings,REMOVE
console_mf_tradebook,console_mf_holdings,REMOVE
contract_note_charges,ledger_report,REMOVE
corporate_action_orders,console_eq_pnl,REMOVE
e_mandate_report,e_mandate_schedule_report,REMOVE
e_mandate_schedule_report,e_mandate_report,REMOVE
kite_gtt,kite_orders,REMOVE
kite_holdings,console_mtf_holdings,REMOVE
kite_orders,kite_gtt,REMOVE
mandate_report,mandate_debit_report,REMOVE
pledge_request_report,delayed_payment_charges,REMOVE
sip_report,fund_allocation_report,REMOVE
sip_report,stp_report,REMOVE
sip_report,swp_report,REMOVE
stock_gift_requests,stock_gift_requests,REMOVE
stock_transfers,console_eq_holdings,REMOVE
stock_transfers,stock_gift_requests,REMOVE
stp_report,mandate_report,REMOVE
swp_report,stp_report,REMOVE
tradewise_charges_report,kite_order_history,REMOVE
